url,main language,stars,owner,project,branch
https://github.com/PHPMailer/PHPMailer,PHP,20.6k,PHPMailer,PHPMailer,master
https://github.com/sebastianbergmann/phpunit,PHP,19.6k,sebastianbergmann,phpunit,main
https://github.com/matomo-org/matomo,PHP,19.1k,matomo-org,matomo,5.x-dev
https://github.com/WordPress/WordPress,PHP,18.9k,WordPress,WordPress,master
https://github.com/bcit-ci/CodeIgniter,PHP,18.3k,bcit-ci,CodeIgniter,develop
https://github.com/nikic/PHP-Parser,PHP,16.8k,nikic,PHP-Parser,master
https://github.com/briannesbitt/Carbon,PHP,16.5k,briannesbitt,Carbon,master
https://github.com/coollabsio/coolify,PHP,16.4k,coollabsio,coolify,main
https://github.com/barryvdh/laravel-debugbar,PHP,16.2k,barryvdh,laravel-debugbar,master
https://github.com/koel/koel,PHP,15.5k,koel,koel,master
https://github.com/erusev/parsedown,PHP,14.7k,erusev,parsedown,master
https://github.com/firefly-iii/firefly-iii,PHP,14.4k,firefly-iii,firefly-iii,main
https://github.com/getgrav/grav,PHP,14.3k,getgrav,grav,develop
https://github.com/yiisoft/yii2,PHP,14.2k,yiisoft,yii2,master
https://github.com/barryvdh/laravel-ide-helper,PHP,13.9k,barryvdh,laravel-ide-helper,master
https://github.com/cachethq/cachet,PHP,13.7k,cachethq,cachet,2.4
https://github.com/Intervention/image,PHP,13.7k,Intervention,image,develop
https://github.com/thephpleague/flysystem,PHP,13.2k,thephpleague,flysystem,3.x
https://github.com/filp/whoops,PHP,13.1k,filp,whoops,master
https://github.com/AUTOMATIC1111/stable-diffusion-webui,Python,132k,AUTOMATIC1111,stable-diffusion-webui,master
https://github.com/ytdl-org/youtube-dl,Python,129k,ytdl-org,youtube-dl,master
https://github.com/huggingface/transformers,Python,126k,huggingface,transformers,main
https://github.com/langchain-ai/langchain,Python,85.4k,langchain-ai,langchain,master
https://github.com/nvbn/thefuck,Python,83.1k,nvbn,thefuck,master
https://github.com/pytorch/pytorch,Python,78.6k,pytorch,pytorch,main
https://github.com/django/django,Python,77.2k,django,django,main
https://github.com/yt-dlp/yt-dlp,Python,72.5k,yt-dlp,yt-dlp,master
https://github.com/tiangolo/fastapi,Python,71.7k,tiangolo,fastapi,master
https://github.com/home-assistant/core,Python,69.1k,home-assistant,core,dev
https://github.com/pallets/flask,Python,66.6k,pallets,flask,main
https://github.com/fighting41love/funNLP,Python,64.7k,fighting41love,funNLP,master
https://github.com/openai/whisper,Python,61.6k,openai,whisper,main
https://github.com/ansible/ansible,Python,61.4k,ansible,ansible,devel
https://github.com/keras-team/keras,Python,61.1k,keras-team,keras,master
https://github.com/python/cpython,Python,60k,python,cpython,main
https://github.com/binary-husky/gpt_academic,Python,58.8k,binary-husky,gpt_academic,master
https://github.com/3b1b/manim,Python,58.8k,3b1b,manim,master
https://github.com/scikit-learn/scikit-learn,Python,58.4k,scikit-learn,scikit-learn,main
https://github.com/xtekky/gpt4free,Python,58.2k,xtekky,gpt4free,main
https://github.com/d2l-ai/d2l-zh,Python,57.4k,d2l-ai,d2l-zh,master
https://github.com/localstack/localstack,Python,52.4k,localstack,localstack,master
https://github.com/zylon-ai/private-gpt,Python,52.3k,zylon-ai,private-gpt,main
https://github.com/ageitgey/face_recognition,Python,52k,ageitgey,face_recognition,master
https://github.com/sherlock-project/sherlock,Python,51.7k,sherlock-project,sherlock,master
https://github.com/psf/requests,Python,51.4k,psf,requests,main
https://github.com/abi/screenshot-to-code,Python,51.4k,abi,screenshot-to-code,main
https://github.com/scrapy/scrapy,Python,51.2k,scrapy,scrapy,master
https://github.com/CorentinJ/Real-Time-Voice-Cloning,Python,51k,CorentinJ,Real-Time-Voice-Cloning,master
https://github.com/gpt-engineer-org/gpt-engineer,Python,50.8k,gpt-engineer-org,gpt-engineer,main
https://github.com/rails/rails,Ruby,55k,rails,rails,main
https://github.com/jekyll/jekyll,Ruby,48.4k,jekyll,jekyll,master
https://github.com/mastodon/mastodon,Ruby,46.1k,mastodon,mastodon,main
https://github.com/huginn/huginn,Ruby,41.8k,huginn,huginn,master
https://github.com/discourse/discourse,Ruby,40.7k,discourse,discourse,main
https://github.com/Homebrew/brew,Ruby,39.7k,Homebrew,brew,master
https://github.com/fastlane/fastlane,Ruby,38.7k,fastlane,fastlane,master
https://github.com/rapid7/metasploit-framework,Ruby,32.9k,rapid7,metasploit-framework,master
https://github.com/maybe-finance/maybe,Ruby,27k,maybe-finance,maybe,main
https://github.com/hashicorp/vagrant,Ruby,25.9k,hashicorp,vagrant,main
https://github.com/heartcombo/devise,Ruby,23.8k,heartcombo,devise,main
https://github.com/gitlabhq/gitlabhq,Ruby,23.6k,gitlabhq,gitlabhq,master
https://github.com/ruby/ruby,Ruby,21.6k,ruby,ruby,master
https://github.com/Homebrew/homebrew-cask,Ruby,20.6k,Homebrew,homebrew-cask,master
https://github.com/chatwoot/chatwoot,Ruby,18.8k,chatwoot,chatwoot,develop
https://github.com/CocoaPods/CocoaPods,Ruby,14.4k,CocoaPods,CocoaPods,master
https://github.com/postalserver/postal,Ruby,14.2k,postalserver,postal,main
https://github.com/mame/quine-relay,Ruby,13.8k,mame,quine-relay,master
https://github.com/diaspora/diaspora,Ruby,13.4k,diaspora,diaspora,develop
https://github.com/Homebrew/homebrew-core,Ruby,13.3k,Homebrew,homebrew-core,master
https://github.com/sidekiq/sidekiq,Ruby,13k,sidekiq,sidekiq,main
https://github.com/spree/spree,Ruby,12.7k,spree,spree,main
https://github.com/capistrano/capistrano,Ruby,12.7k,capistrano,capistrano,master
https://github.com/fluent/fluentd,Ruby,12.6k,fluent,fluentd,master
https://github.com/rubocop/rubocop,Ruby,12.5k,rubocop,rubocop,master
https://github.com/tmuxinator/tmuxinator,Ruby,12.5k,tmuxinator,tmuxinator,master
https://github.com/sinatra/sinatra,Ruby,12.1k,sinatra,sinatra,main
https://github.com/github-linguist/linguist,Ruby,11.9k,github-linguist,linguist,main
https://github.com/faker-ruby/faker,Ruby,11.2k,faker-ruby,faker,main
https://github.com/jordansissel/fpm,Ruby,11.1k,jordansissel,fpm,main
https://github.com/rust-lang/rust,Rust,93.5k,rust-lang,rust,master
https://github.com/denoland/deno,Rust,93.1k,denoland,deno,main
https://github.com/tauri-apps/tauri,Rust,78k,tauri-apps,tauri,dev
https://github.com/rustdesk/rustdesk,Rust,64.8k,rustdesk,rustdesk,master
https://github.com/FuelLabs/sway,Rust,63.1k,FuelLabs,sway,master
https://github.com/FuelLabs/fuel-core,Rust,58.8k,FuelLabs,fuel-core,master
https://github.com/alacritty/alacritty,Rust,53.2k,alacritty,alacritty,master
https://github.com/lencx/ChatGPT,Rust,48.2k,lencx,ChatGPT,v2-dev
https://github.com/sharkdp/bat,Rust,46.9k,sharkdp,bat,master
https://github.com/BurntSushi/ripgrep,Rust,45.3k,BurntSushi,ripgrep,master
https://github.com/FuelLabs/fuels-rs,Rust,44.6k,FuelLabs,fuels-rs,master
https://github.com/meilisearch/meilisearch,Rust,43.6k,meilisearch,meilisearch,main
https://github.com/starship/starship,Rust,41.2k,starship,starship,master
https://github.com/zed-industries/zed,Rust,34.3k,zed-industries,zed,main
https://github.com/dani-garcia/vaultwarden,Rust,33.5k,dani-garcia,vaultwarden,main
https://github.com/lapce/lapce,Rust,33.2k,lapce,lapce,master
https://github.com/bevyengine/bevy,Rust,32.7k,bevyengine,bevy,main
https://github.com/sharkdp/fd,Rust,31.9k,sharkdp,fd,master
https://github.com/helix-editor/helix,Rust,30.3k,helix-editor,helix,master
https://github.com/nushell/nushell,Rust,30.3k,nushell,nushell,main
https://github.com/swc-project/swc,Rust,30.1k,swc-project,swc,main
https://github.com/typst/typst,Rust,28.7k,typst,typst,main
https://github.com/influxdata/influxdb,Rust,27.9k,influxdata,influxdb,main
https://github.com/astral-sh/ruff,Rust,27.1k,astral-sh,ruff,main
https://github.com/pola-rs/polars,Rust,26.6k,pola-rs,polars,main
https://github.com/surrealdb/surrealdb,Rust,25.7k,surrealdb,surrealdb,main
https://github.com/vercel/turbo,Rust,25.1k,vercel,turbo,main
https://github.com/tokio-rs/tokio,Rust,24.9k,tokio-rs,tokio,master
https://github.com/fish-shell/fish-shell,Rust,24.7k,fish-shell,fish-shell,master
https://github.com/firecracker-microvm/firecracker,Rust,26.5k,firecracker-microvm,firecracker,main
https://github.com/Alamofire/Alamofire,Swift,40.6k,Alamofire,Alamofire,master
https://github.com/iina/iina,Swift,36.5k,iina,iina,develop
